owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,years_in_business,RATE_ID_FOR_years_in_business,fsr,location,judgement_lien_percent,RATE_ID_FOR_judgement_lien_percent,INPUT_VALUE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,RATE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,RATE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,RATE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_tax_lien_amount,RATE_ID_FOR_tax_lien_amount,INPUT_VALUE_ID_FOR_tax_lien_percent,RATE_ID_FOR_tax_lien_percent,INPUT_VALUE_ID_FOR_tax_lien_count,RATE_ID_FOR_tax_lien_count,INPUT_VALUE_ID_FOR_current_position,RATE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,INPUT_VALUE_ID_FOR_industry_type,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status
502.0,2,35000.0,100.0,9.17,0,5.0,3,0.0,0,0.0,0,1,35.25,0,24178.315,0,1701.75,0,0.07,0,0.0,0,0.0,0,0.0,0,1.0,0,24178.315,2,502.0,2,35000.0,100.0,5452.0,1
643.0,0,150000.0,100.0,13.55,0,51.0,3,0.0,0,0.0,0,0,15.0,0,47185.25,0,7635.5,0,0.16,0,0.0,0,0.0,0,0.0,0,2.0,1,47185.25,2,643.0,0,150000.0,100.0,3392.0,0
704.0,0,150000.0,100.0,3.11,0,31.0,1,0.0,0,0.0,0,0,0.0,2,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,704.0,0,150000.0,100.0,7526.0,1
634.0,0,150000.0,100.0,6.8,0,86.0,3,0.0,0,0.0,0,0,1.6666666666667,3,22445.0,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,1.0,0,22445.0,1,634.0,0,150000.0,100.0,765.0,2
591.0,1,100000.0,100.0,4.15,0,86.0,3,0.0,0,0.0,0,3,5.0,2,86255.363636364,0,24108.454545455,0,0.28,0,0.0,0,0.0,0,0.0,0,0.0,0,86255.363636364,3,591.0,1,100000.0,100.0,6445.0,1
730.0,0,150000.0,100.0,2.29,0,74.0,1,0.0,0,0.0,0,0,70.0,0,2291481.0,0,218279.33333333,0,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,2291481.0,1,730.0,0,150000.0,100.0,6974.0,1
674.0,0,150000.0,100.0,0.69,2,53.0,3,0.0,0,0.0,0,0,201.0,0,113396.4,0,5479.4,0,0.05,0,0.0,0,0.0,0,0.0,0,1.0,0,113396.4,2,674.0,0,150000.0,100.0,1807.0,2
634.0,0,150000.0,100.0,6.8,0,86.0,3,0.0,0,0.0,0,0,1.6666666666667,3,22445.0,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,1.0,0,22445.0,2,634.0,0,150000.0,100.0,765.0,2
645.0,1,100000.0,100.0,5.78,0,56.0,3,0.0,0,0.0,0,0,75.625,0,245861.5,0,18755.125,0,0.08,0,0.0,0,0.0,0,0.0,0,1.0,0,245861.5,2,645.0,1,100000.0,100.0,7602.0,2
649.0,0,150000.0,100.0,18.93,0,70.0,1,0.0,0,0.0,0,0,11.5,0,53664.67,0,11488.5,0,0.21,0,0.0,0,0.0,0,0.0,0,1.0,0,53664.67,2,649.0,0,150000.0,100.0,3266.0,1
